query	grouping_confidence	location_confidence	orientation_confidence
scaffold_47	1.0	1.0	1.0
scaffold_6752	1.0	1.0	1.0
scaffold_3278	1.0	1.0	1.0
scaffold_5624	1.0	1.0	1.0
scaffold_7730	1.0	1.0	1.0
scaffold_1967	1.0	1.0	1.0
scaffold_7879	1.0	1.0	1.0
scaffold_4247	1.0	1.0	1.0
scaffold_3699	1.0	1.0	1.0
scaffold_2931	1.0	1.0	1.0
scaffold_4871	1.0	1.0	1.0
scaffold_1520	1.0	0.9809884759967955	1.0
scaffold_4300	1.0	0.17830667186890362	0.8419534513626418
scaffold_1652	1.0	1.0	1.0
scaffold_2254	1.0	1.0	1.0
scaffold_3199	1.0	1.0	1.0
scaffold_2200	1.0	1.0	1.0
scaffold_4703	1.0	1.0	1.0
scaffold_5074	1.0	1.0	1.0
scaffold_4640	1.0	1.0	1.0
scaffold_3321	1.0	1.0	1.0
scaffold_2325	1.0	1.0	1.0
scaffold_3105	1.0	1.0	1.0
scaffold_5342	1.0	1.0	1.0
scaffold_5802	1.0	1.0	1.0
scaffold_6270	1.0	1.0	1.0
scaffold_1951	1.0	0.8108740976339697	0.9781950707270369
scaffold_5127	1.0	1.0	1.0
scaffold_1507	1.0	0.31904570167149915	1.0
scaffold_3524	1.0	1.0	1.0
scaffold_1933	1.0	0.9968359279925721	1.0
scaffold_5443	1.0	1.0	1.0
scaffold_855	1.0	1.0	1.0
scaffold_1653	0.9969539089204984	1.0	1.0
scaffold_2773	1.0	1.0	1.0
scaffold_904	1.0	1.0	1.0
scaffold_1335	1.0	1.0	1.0
scaffold_1960	1.0	0.9362059552307757	1.0
scaffold_948	1.0	1.0	1.0
scaffold_348	1.0	1.0	1.0
scaffold_6075	1.0	1.0	1.0
scaffold_744	1.0	1.0	1.0
scaffold_4896	1.0	1.0	1.0
scaffold_5040	1.0	1.0	1.0
scaffold_1164	1.0	0.9934521680378363	1.0
scaffold_1997	1.0	1.0	1.0
scaffold_430	1.0	1.0	1.0
scaffold_2799	1.0	1.0	1.0
scaffold_3340	1.0	1.0	1.0
scaffold_186	1.0	1.0	1.0
scaffold_1242	1.0	1.0	1.0
scaffold_3311	1.0	1.0	1.0
scaffold_6387	1.0	1.0	1.0
scaffold_745	1.0	0.9906348144536786	1.0
scaffold_1130	1.0	0.9806159026721704	1.0
scaffold_832	1.0	0.9755028082232988	1.0
scaffold_1849	1.0	1.0	1.0
scaffold_1831	1.0	1.0	1.0
scaffold_2531	1.0	1.0	1.0
scaffold_620	1.0	0.9962464365722801	1.0
scaffold_2260	1.0	1.0	1.0
scaffold_1760	1.0	0.9949090965790376	1.0
scaffold_1123	1.0	1.0	1.0
scaffold_3991	1.0	1.0	1.0
scaffold_1608	1.0	1.0	1.0
scaffold_2800	1.0	1.0	1.0
scaffold_1894	1.0	1.0	1.0
scaffold_9028	1.0	1.0	0.5207939508506616
scaffold_1650	1.0	1.0	1.0
scaffold_969	1.0	0.9970474104885729	1.0
scaffold_2893	1.0	1.0	1.0
scaffold_3785	1.0	1.0	1.0
scaffold_1239	1.0	0.9819580773016253	1.0
scaffold_4970	0.990670522123411	1.0	1.0
scaffold_4265	0.6015239557066111	1.0	1.0
scaffold_3480	1.0	1.0	1.0
scaffold_2938	1.0	1.0	1.0
scaffold_4460	1.0	1.0	1.0
scaffold_5631	1.0	1.0	1.0
scaffold_4402	1.0	1.0	1.0
scaffold_4889	1.0	1.0	1.0
scaffold_1112	0.9983862702959014	0.9805382587337474	1.0
scaffold_5680	1.0	1.0	1.0
scaffold_4625	0.9977959813393087	1.0	1.0
scaffold_5254	1.0	1.0	1.0
scaffold_2376	1.0	1.0	1.0
scaffold_3407	1.0	1.0	1.0
scaffold_5773	1.0	1.0	1.0
scaffold_5021	1.0	1.0	1.0
scaffold_4264	1.0	1.0	1.0
scaffold_4913	1.0	1.0	1.0
scaffold_5885	1.0	1.0	1.0
scaffold_5586	1.0	1.0	1.0
scaffold_2707	1.0	1.0	1.0
scaffold_8240	1.0	1.0	1.0
scaffold_3814	1.0	1.0	1.0
scaffold_2170	1.0	1.0	1.0
scaffold_4362	1.0	1.0	1.0
scaffold_2828	1.0	1.0	1.0
scaffold_6937	1.0	1.0	1.0
scaffold_7060	1.0	1.0	1.0
scaffold_4432	1.0	1.0	1.0
scaffold_4076	1.0	1.0	1.0
scaffold_4904	1.0	1.0	1.0
scaffold_6434	1.0	1.0	1.0
scaffold_4760	1.0	1.0	1.0
scaffold_7765	1.0	1.0	1.0
scaffold_4927	1.0	1.0	1.0
scaffold_6555	1.0	1.0	1.0
scaffold_6036	1.0	1.0	1.0
scaffold_5725	1.0	1.0	1.0
scaffold_4747	1.0	1.0	1.0
scaffold_3658	1.0	1.0	1.0
scaffold_5462	1.0	1.0	1.0
scaffold_7101	1.0	1.0	1.0
scaffold_4841	1.0	1.0	1.0
scaffold_4487	1.0	1.0	1.0
scaffold_3363	1.0	1.0	1.0
scaffold_5272	1.0	1.0	1.0
scaffold_1378	1.0	1.0	1.0
scaffold_4233	1.0	1.0	1.0
scaffold_4072	1.0	1.0	1.0
scaffold_5092	1.0	1.0	1.0
scaffold_3685	1.0	1.0	1.0
scaffold_1837	1.0	0.9673646737144173	0.9910726779167716
scaffold_8756	1.0	1.0	1.0
scaffold_6338	1.0	1.0	1.0
scaffold_3532	1.0	1.0	1.0
scaffold_6239	1.0	1.0	1.0
scaffold_6745	1.0	1.0	1.0
scaffold_4174	1.0	1.0	1.0
scaffold_3619	1.0	0.04954083910083338	1.0
scaffold_2438	1.0	1.0	1.0
scaffold_2484	1.0	1.0	1.0
scaffold_3333	1.0	1.0	1.0
scaffold_2854	1.0	1.0	1.0
scaffold_4561	1.0	1.0	1.0
scaffold_833	1.0	0.8568614576493763	0.9527432950191571
scaffold_5433	0.8571428571428571	1.0	1.0
scaffold_1534	1.0	1.0	1.0
scaffold_1913	1.0	0.9858965355805244	1.0
scaffold_3662	1.0	1.0	1.0
scaffold_714	1.0	1.0	1.0
scaffold_3585	1.0	1.0	1.0
scaffold_8108	1.0	1.0	1.0
scaffold_558	1.0	1.0	1.0
scaffold_3955	1.0	1.0	1.0
scaffold_11135	1.0	1.0	1.0
scaffold_432	0.9998342001099736	0.9115765102083772	1.0
scaffold_1681	1.0	1.0	1.0
scaffold_2640	1.0	1.0	1.0
scaffold_7028	1.0	1.0	1.0
scaffold_3217	1.0	1.0	1.0
scaffold_5032	1.0	1.0	1.0
scaffold_2228	1.0	1.0	1.0
scaffold_7303	1.0	1.0	1.0
scaffold_402	1.0	0.9983643275220417	1.0
scaffold_1530	1.0	1.0	1.0
scaffold_4882	1.0	1.0	1.0
scaffold_4178	1.0	1.0	1.0
scaffold_1192	1.0	0.9718946779801123	1.0
scaffold_2701	1.0	1.0	1.0
scaffold_2401	1.0	1.0	1.0
scaffold_2251	1.0	1.0	1.0
scaffold_7165	1.0	1.0	1.0
scaffold_6931	1.0	1.0	1.0
scaffold_878	1.0	0.9835396716826266	1.0
scaffold_3841	1.0	1.0	1.0
scaffold_5743	1.0	1.0	1.0
scaffold_298	1.0	0.9932790250037508	1.0
scaffold_2658	1.0	1.0	1.0
scaffold_3537	1.0	1.0	1.0
scaffold_374	1.0	1.0	1.0
scaffold_6819	1.0	1.0	1.0
scaffold_727	1.0	1.0	1.0
scaffold_6505	1.0	1.0	1.0
scaffold_5567	1.0	1.0	1.0
scaffold_754	1.0	0.9958746482853527	1.0
scaffold_2600	1.0	1.0	1.0
scaffold_6679	1.0	1.0	1.0
scaffold_331	1.0	0.992563254873907	1.0
scaffold_1998	1.0	1.0	1.0
scaffold_2048	1.0	1.0	1.0
scaffold_2052	0.9835536812329133	1.0	1.0
scaffold_1372	1.0	1.0	1.0
scaffold_2202	1.0	1.0	1.0
scaffold_1388	1.0	0.9812612944439968	1.0
scaffold_4221	1.0	1.0	1.0
scaffold_544	1.0	0.9942113322403626	1.0
scaffold_669	1.0	0.9554575428042573	1.0
scaffold_3312	1.0	1.0	1.0
scaffold_8163	1.0	1.0	1.0
scaffold_2217	1.0	1.0	1.0
scaffold_10392	1.0	1.0	1.0
scaffold_5718	1.0	1.0	1.0
scaffold_1869	1.0	1.0	1.0
scaffold_1704	1.0	1.0	1.0
scaffold_3646	1.0	1.0	1.0
scaffold_1094	0.9977802993657352	1.0	1.0
scaffold_899	1.0	1.0	1.0
scaffold_1250	1.0	1.0	1.0
scaffold_940	1.0	1.0	1.0
scaffold_623	1.0	1.0	1.0
scaffold_4328	1.0	1.0	1.0
scaffold_2159	1.0	1.0	1.0
scaffold_1712	1.0	1.0	1.0
scaffold_2963	1.0	1.0	1.0
scaffold_7117	1.0	1.0	1.0
scaffold_3088	1.0	1.0	1.0
scaffold_962	1.0	0.799138833934598	1.0
scaffold_5629	1.0	1.0	1.0
scaffold_1502	1.0	0.7337444586990486	1.0
scaffold_1545	1.0	1.0	1.0
scaffold_1821	1.0	1.0	1.0
scaffold_929	1.0	0.9771919409835591	1.0
scaffold_916	0.5047151617465384	1.0	1.0
scaffold_1842	1.0	0.987708381965854	1.0
scaffold_1092	1.0	1.0	1.0
scaffold_1798	1.0	1.0	1.0
scaffold_7840	1.0	1.0	1.0
scaffold_4755	1.0	1.0	1.0
scaffold_5280	1.0	1.0	1.0
scaffold_778	1.0	0.9886027297339001	1.0
scaffold_1071	1.0	1.0	1.0
scaffold_1456	1.0	0.46938391413027497	1.0
scaffold_2702	1.0	1.0	1.0
scaffold_776	1.0	0.9703667672575179	1.0
scaffold_2164	1.0	0.9950842696629213	1.0
scaffold_1081	1.0	0.951440739443049	1.0
scaffold_1984	1.0	1.0	1.0
scaffold_501	1.0	1.0	1.0
scaffold_2577	1.0	1.0	1.0
scaffold_1212	1.0	1.0	1.0
scaffold_1658	1.0	1.0	1.0
scaffold_4619	1.0	1.0	1.0
scaffold_651	0.9986290671956586	1.0	1.0
scaffold_534	1.0	1.0	1.0
scaffold_3790	1.0	1.0	1.0
scaffold_5660	0.992245143803644	1.0	1.0
scaffold_1171	1.0	1.0	1.0
scaffold_153	1.0	1.0	1.0
scaffold_2105	1.0	1.0	1.0
scaffold_1735	1.0	0.9934927072309826	1.0
scaffold_3139	1.0	1.0	1.0
scaffold_3136	1.0	1.0	1.0
scaffold_6200	1.0	1.0	1.0
scaffold_7856	1.0	1.0	1.0
scaffold_6939	1.0	1.0	1.0
scaffold_2003	1.0	1.0	1.0
scaffold_5456	1.0	1.0	1.0
scaffold_6109	1.0	1.0	1.0
scaffold_5646	1.0	1.0	1.0
scaffold_1612	1.0	0.7587071298637916	0.9913550286054014
scaffold_2085	1.0	0.9571656078519621	1.0
scaffold_4512	1.0	1.0	1.0
scaffold_6556	1.0	1.0	1.0
scaffold_3583	1.0	1.0	1.0
scaffold_7	1.0	1.0	1.0
scaffold_232	1.0	0.9971945038310628	1.0
scaffold_5091	1.0	1.0	1.0
scaffold_3039	1.0	1.0	1.0
scaffold_5698	1.0	1.0	1.0
scaffold_4608	1.0	1.0	1.0
scaffold_3541	1.0	1.0	1.0
scaffold_2235	1.0	1.0	1.0
scaffold_4193	1.0	1.0	1.0
scaffold_3750	1.0	1.0	1.0
scaffold_3774	1.0	1.0	1.0
scaffold_3865	1.0	1.0	1.0
scaffold_863	1.0	0.9757192291542994	1.0
scaffold_1267	1.0	1.0	1.0
scaffold_4268	1.0	1.0	1.0
scaffold_3385	1.0	1.0	1.0
scaffold_764	0.998329974623078	1.0	1.0
scaffold_315	0.9981528950542823	1.0	1.0
scaffold_412	1.0	0.9964531817949112	1.0
scaffold_1413	1.0	0.9899033523204781	1.0
scaffold_4692	1.0	1.0	1.0
scaffold_1218	1.0	1.0	1.0
scaffold_1274	1.0	0.9922999367388897	1.0
scaffold_2031	1.0	0.9526485904112049	1.0
scaffold_3471	1.0	1.0	1.0
scaffold_236	1.0	1.0	1.0
scaffold_1269	1.0	0.9357235998762321	1.0
scaffold_330	1.0	0.8913265755693031	1.0
scaffold_3650	1.0	1.0	1.0
scaffold_1765	1.0	1.0	1.0
scaffold_320	0.9958856170487609	0.6481284632826362	0.9784419860561993
scaffold_10901	1.0	1.0	1.0
scaffold_6308	1.0	1.0	1.0
scaffold_4682	1.0	1.0	1.0
scaffold_7052	1.0	1.0	1.0
scaffold_2024	1.0	1.0	1.0
scaffold_5071	1.0	1.0	1.0
scaffold_2564	1.0	1.0	1.0
scaffold_10760	1.0	1.0	1.0
scaffold_6810	1.0	1.0	1.0
scaffold_2646	0.9967250092176893	1.0	1.0
scaffold_5037	1.0	1.0	1.0
scaffold_4318	1.0	1.0	1.0
scaffold_2244	1.0	1.0	1.0
scaffold_4176	1.0	1.0	1.0
scaffold_3453	1.0	1.0	1.0
scaffold_10644	1.0	1.0	1.0
scaffold_3932	1.0	0.9617984676970388	0.7492557883131202
scaffold_1354	1.0	0.8426927777280993	1.0
scaffold_4198	1.0	1.0	1.0
scaffold_4168	1.0	1.0	1.0
scaffold_750	1.0	0.9896471648808097	0.998567322853939
scaffold_7298	1.0	1.0	1.0
scaffold_5508	1.0	1.0	1.0
scaffold_2064	1.0	0.7031416424663396	0.5596468059763329
scaffold_3458	1.0	1.0	1.0
scaffold_5961	1.0	1.0	1.0
scaffold_6690	1.0	1.0	1.0
scaffold_9721	1.0	1.0	1.0
scaffold_1941	1.0	1.0	1.0
scaffold_3120	1.0	1.0	1.0
scaffold_1457	1.0	1.0	1.0
scaffold_9425	1.0	1.0	1.0
scaffold_7067	1.0	1.0	1.0
scaffold_4928	1.0	1.0	1.0
scaffold_5237	1.0	1.0	1.0
scaffold_1019	1.0	1.0	1.0
scaffold_10082	1.0	1.0	1.0
scaffold_3665	1.0	1.0	1.0
scaffold_4966	1.0	1.0	1.0
scaffold_2294	1.0	0.9599262961614423	1.0
scaffold_3759	1.0	1.0	1.0
scaffold_1867	1.0	0.9675386596671287	1.0
scaffold_4338	1.0	1.0	1.0
scaffold_924	1.0	1.0	1.0
scaffold_1774	1.0	0.3919569688856966	1.0
scaffold_1683	1.0	1.0	1.0
scaffold_3215	1.0	1.0	1.0
scaffold_6447	1.0	1.0	1.0
scaffold_4867	1.0	1.0	1.0
scaffold_3839	1.0	1.0	1.0
scaffold_3735	1.0	1.0	1.0
scaffold_1480	1.0	1.0	1.0
scaffold_2976	1.0	1.0	1.0
scaffold_6370	1.0	1.0	1.0
scaffold_3977	1.0	1.0	1.0
scaffold_5124	1.0	0.6374714993317084	0.9861864824864331
scaffold_4535	1.0	0.8694360414866033	0.5606088847468158
scaffold_5339	1.0	1.0	1.0
scaffold_4738	1.0	1.0	1.0
scaffold_2593	1.0	1.0	1.0
scaffold_5335	0.9590125756870052	1.0	1.0
scaffold_4111	1.0	1.0	1.0
scaffold_6954	1.0	1.0	1.0
scaffold_2851	1.0	1.0	1.0
scaffold_2224	1.0	1.0	1.0
scaffold_1493	1.0	0.8919899794450155	1.0
scaffold_3167	1.0	1.0	1.0
scaffold_1035	1.0	1.0	1.0
scaffold_394	1.0	0.9957298845954262	1.0
scaffold_524	1.0	1.0	1.0
scaffold_345	1.0	0.01963284346857562	0.8035049570633546
scaffold_540	1.0	0.4849421605516778	1.0
scaffold_1443	1.0	1.0	1.0
scaffold_2263	1.0	1.0	1.0
scaffold_1847	1.0	1.0	1.0
scaffold_562	1.0	0.9991637232217764	1.0
scaffold_2344	1.0	1.0	1.0
scaffold_1620	1.0	1.0	1.0
scaffold_1491	1.0	1.0	1.0
scaffold_716	1.0	1.0	1.0
scaffold_410	1.0	1.0	1.0
scaffold_407	1.0	1.0	1.0
scaffold_1017	1.0	0.9636219004199776	1.0
scaffold_1487	0.9952643004300153	1.0	1.0
scaffold_6422	1.0	1.0	1.0
scaffold_2467	1.0	1.0	1.0
scaffold_2659	1.0	1.0	1.0
scaffold_4974	1.0	1.0	1.0
scaffold_1739	1.0	0.7720207621793188	1.0
scaffold_2900	1.0	1.0	1.0
scaffold_1497	1.0	0.9275957142358566	1.0
scaffold_4307	1.0	1.0	1.0
scaffold_1226	1.0	1.0	1.0
scaffold_1628	1.0	1.0	1.0
scaffold_3078	1.0	1.0	1.0
scaffold_2044	1.0	0.9938612818921917	1.0
scaffold_1670	1.0	1.0	1.0
scaffold_3614	1.0	1.0	1.0
scaffold_3772	1.0	1.0	1.0
scaffold_4586	1.0	1.0	1.0
scaffold_2443	1.0	1.0	1.0
scaffold_2121	1.0	1.0	1.0
scaffold_564	1.0	1.0	1.0
scaffold_2374	1.0	1.0	1.0
scaffold_6671	1.0	1.0	1.0
scaffold_819	1.0	1.0	1.0
scaffold_8275	1.0	1.0	1.0
scaffold_2750	1.0	1.0	1.0
scaffold_4054	1.0	1.0	1.0
scaffold_2787	1.0	1.0	1.0
scaffold_4712	1.0	1.0	1.0
scaffold_759	1.0	0.9964489642812487	1.0
scaffold_409	0.9996361643101125	0.23952251386253776	1.0
scaffold_2136	1.0	1.0	1.0
scaffold_7737	1.0	1.0	1.0
scaffold_2013	1.0	0.9237359021260559	1.0
scaffold_676	1.0	0.9862414450010584	1.0
scaffold_275	1.0	1.0	1.0
scaffold_3371	1.0	0.8212390776938401	0.9593861081756172
scaffold_3819	1.0	1.0	1.0
scaffold_9325	1.0	1.0	1.0
scaffold_8397	1.0	1.0	1.0
scaffold_1630	1.0	1.0	1.0
scaffold_8271	1.0	1.0	1.0
scaffold_2617	1.0	1.0	1.0
scaffold_5039	1.0	1.0	1.0
scaffold_4488	1.0	1.0	1.0
scaffold_4750	1.0	1.0	1.0
scaffold_6312	1.0	1.0	1.0
scaffold_1361	1.0	0.9847666334493027	1.0
scaffold_4955	1.0	1.0	1.0
scaffold_1326	0.9763529121050313	0.9188210909458572	1.0
scaffold_2243	1.0	1.0	1.0
scaffold_3253	1.0	1.0	1.0
scaffold_1464	1.0	1.0	1.0
scaffold_4015	1.0	1.0	1.0
scaffold_2010	1.0	1.0	1.0
scaffold_1555	1.0	0.8336301152345522	0.9821359328975027
scaffold_2479	1.0	1.0	1.0
scaffold_7463	1.0	1.0	1.0
scaffold_4008	1.0	1.0	1.0
scaffold_5401	1.0	1.0	1.0
scaffold_2781	1.0	1.0	1.0
scaffold_2204	1.0	1.0	1.0
scaffold_2086	1.0	0.9961318953712681	1.0
scaffold_5028	1.0	1.0	1.0
scaffold_6023	1.0	1.0	1.0
scaffold_218	0.9994973339197771	1.0	1.0
scaffold_7041	1.0	1.0	1.0
scaffold_3742	1.0	1.0	1.0
scaffold_6861	1.0	1.0	1.0
scaffold_2397	1.0	0.817690919312365	0.9894519730057354
scaffold_2220	1.0	0.9895242009842585	1.0
scaffold_1304	1.0	1.0	1.0
scaffold_8631	1.0	1.0	1.0
scaffold_662	1.0	1.0	1.0
scaffold_3358	1.0	1.0	1.0
scaffold_5776	1.0	1.0	1.0
scaffold_6168	1.0	1.0	1.0
scaffold_1659	1.0	0.9032950025116419	0.9950777046322181
scaffold_2156	1.0	0.9351955668635992	1.0
scaffold_1912	1.0	0.9574575516910858	1.0
scaffold_3474	1.0	0.6785481417083242	0.7539504591074098
scaffold_4613	1.0	1.0	1.0
scaffold_2380	1.0	1.0	1.0
scaffold_3937	1.0	1.0	1.0
scaffold_755	1.0	0.9840022656114791	0.9824310625465685
scaffold_293	1.0	0.9598449813163639	1.0
scaffold_616	1.0	1.0	1.0
scaffold_1382	1.0	1.0	1.0
scaffold_3912	1.0	1.0	1.0
scaffold_2449	1.0	1.0	1.0
scaffold_3824	1.0	1.0	1.0
scaffold_5212	1.0	1.0	1.0
scaffold_584	0.815546697708326	0.6121221000014121	0.9898154262267193
scaffold_4001	1.0	0.3477094972067039	0.9121805534553152
scaffold_7223	1.0	1.0	1.0
scaffold_3756	1.0	1.0	1.0
scaffold_3046	1.0	1.0	1.0
scaffold_3999	1.0	1.0	1.0
scaffold_1340	0.9876220215489352	0.8342323503552503	1.0
scaffold_3903	1.0	1.0	1.0
scaffold_1591	1.0	1.0	1.0
scaffold_556	0.9974444257968051	0.03504204074708255	1.0
scaffold_1710	1.0	1.0	1.0
scaffold_295	1.0	0.9597910151813331	0.9967064735821136
scaffold_4027	1.0	1.0	1.0
scaffold_5846	1.0	1.0	1.0
scaffold_3877	1.0	1.0	1.0
scaffold_3578	1.0	1.0	1.0
scaffold_3607	1.0	1.0	1.0
scaffold_3568	1.0	1.0	1.0
scaffold_7877	1.0	1.0	1.0
scaffold_3705	1.0	1.0	1.0
scaffold_3992	1.0	1.0	1.0
scaffold_1701	1.0	1.0	1.0
scaffold_4277	1.0	1.0	1.0
scaffold_6591	1.0	1.0	1.0
scaffold_3723	1.0	1.0	1.0
scaffold_3802	1.0	1.0	1.0
scaffold_5979	1.0	1.0	1.0
scaffold_2197	1.0	1.0	1.0
scaffold_2946	1.0	1.0	1.0
scaffold_4655	1.0	1.0	1.0
scaffold_2815	1.0	1.0	1.0
scaffold_3409	1.0	1.0	1.0
scaffold_2889	1.0	1.0	1.0
scaffold_3434	1.0	1.0	1.0
scaffold_5315	1.0	1.0	1.0
scaffold_3255	1.0	1.0	1.0
scaffold_3483	1.0	1.0	1.0
scaffold_4548	1.0	1.0	1.0
scaffold_2650	1.0	1.0	1.0
scaffold_4204	1.0	1.0	1.0
scaffold_2405	1.0	1.0	1.0
scaffold_2478	1.0	1.0	1.0
scaffold_4507	1.0	1.0	1.0
scaffold_1169	1.0	1.0	1.0
scaffold_3008	1.0	1.0	1.0
scaffold_2710	1.0	1.0	1.0
scaffold_6985	1.0	1.0	1.0
scaffold_3450	1.0	1.0	1.0
scaffold_2888	1.0	1.0	1.0
scaffold_1993	1.0	1.0	1.0
scaffold_3003	1.0	1.0	1.0
scaffold_2974	1.0	1.0	1.0
scaffold_1288	1.0	0.39435634943669035	1.0
scaffold_6632	1.0	1.0	1.0
scaffold_2957	1.0	1.0	1.0
scaffold_6817	1.0	1.0	1.0
scaffold_3064	1.0	1.0	1.0
scaffold_2207	1.0	1.0	1.0
scaffold_4880	1.0	1.0	1.0
scaffold_4821	1.0	1.0	1.0
scaffold_4149	1.0	1.0	1.0
scaffold_5228	1.0	1.0	1.0
scaffold_3901	1.0	1.0	1.0
scaffold_3260	1.0	1.0	1.0
scaffold_6097	1.0	1.0	1.0
scaffold_2795	1.0	0.8103430649472039	0.9485626745967378
scaffold_6085	1.0	1.0	1.0
scaffold_4288	0.684674150296227	0.3348455966450629	0.5412729135830582
scaffold_2567	1.0	1.0	1.0
scaffold_2091	1.0	0.08584204960951931	1.0
scaffold_6005	1.0	1.0	1.0
scaffold_4762	1.0	1.0	1.0
scaffold_6366	1.0	1.0	1.0
scaffold_2871	1.0	1.0	1.0
scaffold_4165	1.0	1.0	1.0
scaffold_4064	1.0	1.0	1.0
scaffold_4702	1.0	1.0	1.0
scaffold_2483	1.0	1.0	1.0
scaffold_3300	1.0	1.0	1.0
scaffold_7361	1.0	1.0	1.0
scaffold_3931	1.0	1.0	1.0
scaffold_6911	1.0	1.0	1.0
scaffold_4479	1.0	1.0	1.0
scaffold_5862	1.0	1.0	1.0
scaffold_3430	1.0	1.0	1.0
scaffold_6659	1.0	1.0	1.0
scaffold_4142	1.0	1.0	1.0
scaffold_6323	1.0	1.0	1.0
scaffold_2983	1.0	1.0	1.0
scaffold_2413	1.0	1.0	1.0
scaffold_3872	1.0	1.0	1.0
scaffold_4424	1.0	1.0	1.0
scaffold_5266	1.0	1.0	1.0
scaffold_2813	1.0	1.0	1.0
scaffold_4562	1.0	1.0	1.0
scaffold_2022	1.0	0.8330754407115938	1.0
scaffold_3485	1.0	1.0	1.0
scaffold_3733	1.0	1.0	1.0
scaffold_1602	1.0	0.9904978242425901	1.0
scaffold_1053	1.0	0.9436819133277989	1.0
scaffold_5626	1.0	1.0	1.0
scaffold_648	1.0	1.0	1.0
scaffold_2407	1.0	1.0	1.0
scaffold_2498	1.0	1.0	1.0
scaffold_3833	1.0	1.0	1.0
scaffold_4767	1.0	1.0	1.0
scaffold_1809	1.0	1.0	1.0
scaffold_4818	1.0	1.0	1.0
scaffold_1341	1.0	1.0	1.0
scaffold_685	1.0	0.9945756755199632	1.0
scaffold_1642	0.9901274952213924	1.0	1.0
scaffold_1780	1.0	1.0	1.0
scaffold_880	1.0	1.0	1.0
scaffold_1385	1.0	1.0	1.0
scaffold_11008	1.0	1.0	1.0
scaffold_955	1.0	0.9894622149583625	1.0
scaffold_202	1.0	1.0	1.0
scaffold_1084	1.0	1.0	1.0
scaffold_10594	1.0	1.0	1.0
scaffold_514	1.0	1.0	1.0
scaffold_936	1.0	1.0	1.0
scaffold_11957	1.0	1.0	1.0
scaffold_118	1.0	1.0	1.0
scaffold_519	1.0	1.0	1.0
scaffold_965	1.0	1.0	1.0
scaffold_2834	1.0	1.0	1.0
scaffold_2019	1.0	1.0	1.0
scaffold_1404	1.0	1.0	1.0
scaffold_3002	1.0	1.0	1.0
scaffold_730	1.0	1.0	1.0
scaffold_114	1.0	1.0	1.0
scaffold_6463	1.0	1.0	1.0
scaffold_3510	1.0	1.0	1.0
scaffold_2441	1.0	1.0	1.0
scaffold_1020	1.0	1.0	1.0
scaffold_838	1.0	1.0	1.0
scaffold_3822	1.0	1.0	1.0
scaffold_746	1.0	0.9985569027147135	1.0
scaffold_10650	1.0	1.0	1.0
scaffold_3556	1.0	1.0	1.0
scaffold_529	1.0	1.0	1.0
scaffold_3683	1.0	1.0	1.0
scaffold_259	1.0	1.0	1.0
scaffold_2747	1.0	1.0	1.0
scaffold_787	1.0	1.0	1.0
scaffold_1266	1.0	0.9782486124570522	1.0
scaffold_2131	0.9938775510204082	1.0	1.0
scaffold_1119	1.0	1.0	1.0
scaffold_840	1.0	1.0	1.0
scaffold_3738	1.0	1.0	1.0
