pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
BWP_Res	NC_045637.1_RagTag	2000001	2100000	0.1965699208443271	37	447	2274	99762
HP	NC_045637.1_RagTag	2000001	2100000	0.0711111111111111	15	16	225	22965
MP	NC_045637.1_RagTag	2100001	2200000	NA	0	0	0	43700
BWP_Mig	NC_045637.1_RagTag	2100001	2200000	0.3640836408364084	2	296	813	434117
BWP_Res	NC_045637.1_RagTag	2100001	2200000	NA	0	0	0	15180
HP	NC_045637.1_RagTag	2100001	2200000	NA	0	0	0	3450
HP	NC_045637.1_RagTag	2200001	2300000	0.1777777777777777	9	24	135	16095
MP	NC_045637.1_RagTag	2200001	2300000	0.2544502617801047	6	243	955	204625
BWP_Mig	NC_045637.1_RagTag	2200001	2300000	0.2314320886335658	19	6204	26807	2019255
BWP_Res	NC_045637.1_RagTag	2200001	2300000	0.2829131652661064	21	303	1071	70341
MP	NC_045637.1_RagTag	2300001	2400000	0.1753336401288541	12	381	2173	142037
BWP_Mig	NC_045637.1_RagTag	2300001	2400000	0.1488986784140969	17	3380	22700	1412569
BWP_Res	NC_045637.1_RagTag	2300001	2400000	0.1763619575253924	18	191	1083	49011
HP	NC_045637.1_RagTag	2300001	2400000	0.0277777777777777	12	5	180	11205
HP	NC_045637.1_RagTag	2400001	2500000	0.0711111111111111	15	16	225	12315
BWP_Res	NC_045637.1_RagTag	2400001	2500000	0.2120181405895691	28	374	1764	53412
BWP_Mig	NC_045637.1_RagTag	2400001	2500000	0.203357802165855	28	8394	41277	1539599
MP	NC_045637.1_RagTag	2400001	2500000	0.1333333333333333	4	64	480	158360
HP	NC_045637.1_RagTag	2500001	2600000	0.0919540229885057	29	40	435	16125
MP	NC_045637.1_RagTag	2500001	2600000	0.056578947368421	16	172	3040	206720
BWP_Mig	NC_045637.1_RagTag	2500001	2600000	0.1980234896829141	23	7975	40273	2047391
BWP_Res	NC_045637.1_RagTag	2500001	2600000	0.1884057971014492	29	325	1725	71139
BWP_Res	NC_045637.1_RagTag	2600001	2700000	0.1550102249488752	38	379	2445	99261
BWP_Mig	NC_045637.1_RagTag	2600001	2700000	0.1607041453719477	36	8490	52830	2861201
MP	NC_045637.1_RagTag	2600001	2700000	0.0515179392824287	27	224	4348	288442
HP	NC_045637.1_RagTag	2600001	2700000	0.1333333333333333	18	36	270	22845
HP	NC_045637.1_RagTag	2700001	2800000	0.0375	16	9	240	30165
MP	NC_045637.1_RagTag	2700001	2800000	0.0307162716801271	44	232	7553	377577
BWP_Mig	NC_045637.1_RagTag	2700001	2800000	0.1685762629925066	29	6974	41370	3791687
BWP_Res	NC_045637.1_RagTag	2700001	2800000	0.1788617886178861	38	396	2214	131568
BWP_Res	NC_045637.1_RagTag	2800001	2900000	0.3175675675675675	8	141	444	46548
BWP_Mig	NC_045637.1_RagTag	2800001	2900000	0.233973696894581	8	3398	14523	1331869
MP	NC_045637.1_RagTag	2800001	2900000	0.0651315789473684	8	99	1520	133760
HP	NC_045637.1_RagTag	2800001	2900000	0.0	1	0	15	10665
BWP_Mig	NC_045637.1_RagTag	2900001	3000000	0.0	2	0	3306	783350
MP	NC_045637.1_RagTag	2900001	3000000	0.0	2	0	240	78800
BWP_Res	NC_045637.1_RagTag	2900001	3000000	0.0	2	0	90	27366
HP	NC_045637.1_RagTag	2900001	3000000	0.0	2	0	30	6210
HP	NC_045637.1_RagTag	3000001	3100000	0.0	4	0	60	13515
BWP_Res	NC_045637.1_RagTag	3000001	3100000	0.2177177177177177	12	145	666	59064
BWP_Mig	NC_045637.1_RagTag	3000001	3100000	0.1570037316828979	12	3450	21974	1689381
MP	NC_045637.1_RagTag	3000001	3100000	0.0	12	0	1963	169987
MP	NC_045637.1_RagTag	3100001	3200000	0.009502515371716	10	17	1789	180041
HP	NC_045637.1_RagTag	3100001	3200000	0.1428571428571428	7	15	105	14250
BWP_Res	NC_045637.1_RagTag	3100001	3200000	0.1038525963149078	10	62	597	62565
BWP_Mig	NC_045637.1_RagTag	3100001	3200000	0.0503108697205745	9	704	13993	1795694
BWP_Res	NC_045637.1_RagTag	3200001	3300000	0.1148867313915857	30	213	1854	42366
BWP_Mig	NC_045637.1_RagTag	3200001	3300000	0.1485257900430409	28	6453	43447	1223523
MP	NC_045637.1_RagTag	3200001	3300000	0.0362731152204836	37	255	7030	120270
HP	NC_045637.1_RagTag	3200001	3300000	0.119298245614035	38	68	570	9480
BWP_Res	NC_045637.1_RagTag	3300001	3400000	0.067001675041876	30	120	1791	77541
BWP_Mig	NC_045637.1_RagTag	3300001	3400000	0.1475577861030607	31	8350	56588	2216394
MP	NC_045637.1_RagTag	3300001	3400000	0.0572519083969465	25	255	4454	223926
HP	NC_045637.1_RagTag	3300001	3400000	0.0793650793650793	21	25	315	17715
HP	NC_045637.1_RagTag	3400001	3500000	0.1304347826086956	23	45	345	21600
MP	NC_045637.1_RagTag	3400001	3500000	0.1132686084142394	32	630	5562	272408
BWP_Mig	NC_045637.1_RagTag	3400001	3500000	0.1220064798241837	29	5385	44137	2722396
BWP_Res	NC_045637.1_RagTag	3400001	3500000	0.120557804768331	34	268	2223	94335
HP	NC_045637.1_RagTag	3500001	3600000	0.0	4	0	60	5745
MP	NC_045637.1_RagTag	3500001	3600000	0.0	9	0	1570	71960
BWP_Mig	NC_045637.1_RagTag	3500001	3600000	0.195282799286213	8	2517	12889	718928
BWP_Res	NC_045637.1_RagTag	3500001	3600000	0.0996376811594202	9	55	552	24990
BWP_Res	NC_045637.1_RagTag	3600001	3700000	0.1292517006802721	7	57	441	97569
BWP_Mig	NC_045637.1_RagTag	3600001	3700000	0.1235677771901992	6	1402	11346	2796789
MP	NC_045637.1_RagTag	3600001	3700000	0.3300090661831369	6	364	1103	281047
HP	NC_045637.1_RagTag	3600001	3700000	NA	0	0	0	22275
BWP_Mig	NC_045637.1_RagTag	3700001	3800000	0.1886854583772392	17	5730	30368	741160
MP	NC_045637.1_RagTag	3700001	3800000	0.0	7	0	840	76680
HP	NC_045637.1_RagTag	3700001	3800000	0.0901960784313725	17	23	255	5865
BWP_Res	NC_045637.1_RagTag	3700001	3800000	0.1868239921337266	17	190	1017	25911
HP	NC_045637.1_RagTag	3800001	3900000	0.0	6	0	90	4410
BWP_Mig	NC_045637.1_RagTag	3800001	3900000	0.0344155844155844	5	265	7700	559600
BWP_Res	NC_045637.1_RagTag	3800001	3900000	0.056	6	21	375	19425
MP	NC_045637.1_RagTag	3800001	3900000	0.0956848030018761	6	102	1066	55934
BWP_Res	NC_045637.1_RagTag	3900001	4000000	0.198501872659176	10	106	534	66588
BWP_Mig	NC_045637.1_RagTag	3900001	4000000	0.1732436368680213	12	2498	14419	1908728
MP	NC_045637.1_RagTag	3900001	4000000	0.0	7	0	1260	191970
HP	NC_045637.1_RagTag	3900001	4000000	NA	0	0	0	15255
BWP_Res	NC_045637.1_RagTag	4000001	4100000	0.0	1	0	45	18435
BWP_Mig	NC_045637.1_RagTag	4000001	4100000	0.1754032258064516	1	87	496	528984
MP	NC_045637.1_RagTag	4000001	4100000	0.0	1	0	120	53080
HP	NC_045637.1_RagTag	4000001	4100000	0.0	1	0	15	4185
MP	NC_045637.1_RagTag	4100001	4200000	0.0	4	0	760	84740
HP	NC_045637.1_RagTag	4100001	4200000	NA	0	0	0	6750
BWP_Mig	NC_045637.1_RagTag	4100001	4200000	0.1463204705207287	4	1020	6971	843979
BWP_Res	NC_045637.1_RagTag	4100001	4200000	0.2106666666666666	6	79	375	29325
BWP_Res	NC_045637.1_RagTag	4200001	4300000	0.1717171717171717	6	68	396	29172
BWP_Mig	NC_045637.1_RagTag	4200001	4300000	0.1429250213817352	6	1504	10523	836645
MP	NC_045637.1_RagTag	4200001	4300000	0.0598130841121495	6	64	1070	84050
HP	NC_045637.1_RagTag	4200001	4300000	0.0	4	0	60	6660
BWP_Res	NC_045637.1_RagTag	4300001	4400000	NA	0	0	0	660
BWP_Mig	NC_045637.1_RagTag	4300001	4400000	NA	0	0	0	18910
MP	NC_045637.1_RagTag	4300001	4400000	NA	0	0	0	1900
HP	NC_045637.1_RagTag	4300001	4400000	NA	0	0	0	150
HP	NC_045637.1_RagTag	4400001	4500000	0.1333333333333333	12	24	180	24330
MP	NC_045637.1_RagTag	4400001	4500000	0.0644312952005259	19	196	3042	307418
BWP_Mig	NC_045637.1_RagTag	4400001	4500000	0.1996525457704129	30	7470	37415	3052479
BWP_Res	NC_045637.1_RagTag	4400001	4500000	0.2095588235294117	26	342	1632	106212
BWP_Res	NC_045637.1_RagTag	4500001	4600000	0.0949720670391061	26	153	1611	54951
BWP_Mig	NC_045637.1_RagTag	4500001	4600000	0.0932033508472072	26	4417	47391	1573196
MP	NC_045637.1_RagTag	4500001	4600000	0.0414032225168264	26	203	4903	157927
HP	NC_045637.1_RagTag	4500001	4600000	0.0897435897435897	26	35	390	12465
BWP_Res	NC_045637.1_RagTag	4600001	4700000	0.2914798206278027	13	195	669	35829
BWP_Mig	NC_045637.1_RagTag	4600001	4700000	0.1014158990105766	7	1189	11724	1033999
MP	NC_045637.1_RagTag	4600001	4700000	0.0	6	0	860	104210
HP	NC_045637.1_RagTag	4600001	4700000	0.1777777777777777	3	8	45	8250
HP	NC_045637.1_RagTag	4700001	4800000	0.1454545454545454	11	24	165	9015
MP	NC_045637.1_RagTag	4700001	4800000	0.0	10	0	1900	114380
BWP_Mig	NC_045637.1_RagTag	4700001	4800000	0.099047619047619	17	2184	22050	1135242
BWP_Res	NC_045637.1_RagTag	4700001	4800000	0.2264492753623188	18	250	1104	39288
BWP_Res	NC_045637.1_RagTag	4800001	4900000	0.0867003367003367	36	206	2376	58806
BWP_Mig	NC_045637.1_RagTag	4800001	4900000	0.0790512575612862	36	4966	62820	1690137
MP	NC_045637.1_RagTag	4800001	4900000	0.0451409422432485	28	229	5073	171057
HP	NC_045637.1_RagTag	4800001	4900000	0.074074074074074	36	40	540	13365
BWP_Res	NC_045637.1_RagTag	4900001	5000000	NA	0	0	0	11286
BWP_Mig	NC_045637.1_RagTag	4900001	5000000	NA	0	0	0	323361
MP	NC_045637.1_RagTag	4900001	5000000	NA	0	0	0	32490
HP	NC_045637.1_RagTag	4900001	5000000	0.6	1	9	15	2550
BWP_Mig	NC_045637.1_RagTag	5000001	5100000	0.2051163405605499	8	3103	15128	434930
MP	NC_045637.1_RagTag	5000001	5100000	0.0651315789473684	8	99	1520	43700
BWP_Res	NC_045637.1_RagTag	5000001	5100000	0.1090534979423868	8	53	486	15222
HP	NC_045637.1_RagTag	5000001	5100000	NA	0	0	0	3570
HP	NC_045637.1_RagTag	5100001	5200000	0.1066666666666666	5	8	75	8235
MP	NC_045637.1_RagTag	5100001	5200000	NA	0	0	0	105260
BWP_Mig	NC_045637.1_RagTag	5100001	5200000	0.1916837082481254	11	1406	7335	1040279
BWP_Res	NC_045637.1_RagTag	5100001	5200000	0.2	5	45	225	36339
BWP_Res	NC_045637.1_RagTag	5200001	5300000	0.1969696969696969	9	117	594	13794
BWP_Mig	NC_045637.1_RagTag	5200001	5300000	0.1407267132204994	9	2378	16898	395340
MP	NC_045637.1_RagTag	5200001	5300000	0.0	9	0	1710	39710
HP	NC_045637.1_RagTag	5200001	5300000	0.1333333333333333	9	18	135	3135
HP	NC_045637.1_RagTag	5300001	5400000	NA	0	0	0	10200
BWP_Res	NC_045637.1_RagTag	5300001	5400000	0.0617283950617283	9	25	405	44475
BWP_Mig	NC_045637.1_RagTag	5300001	5400000	0.2501909683217254	15	5568	22255	1263625
MP	NC_045637.1_RagTag	5300001	5400000	0.0623376623376623	14	144	2310	126890
HP	NC_045637.1_RagTag	5400001	5500000	0.0	21	0	315	9075
MP	NC_045637.1_RagTag	5400001	5500000	0.0192851632810491	23	75	3889	115051
BWP_Mig	NC_045637.1_RagTag	5400001	5500000	0.1120724400139721	23	4171	37217	1146549
BWP_Res	NC_045637.1_RagTag	5400001	5500000	0.1477272727272727	24	234	1584	39732
MP	NC_045637.1_RagTag	5500001	5600000	NA	0	0	0	1140
BWP_Mig	NC_045637.1_RagTag	5500001	5600000	NA	0	0	0	11346
BWP_Res	NC_045637.1_RagTag	5500001	5600000	0.3555555555555555	1	16	45	351
HP	NC_045637.1_RagTag	5500001	5600000	NA	0	0	0	90
BWP_Res	NC_045637.1_RagTag	5600001	5700000	0.1271186440677966	6	45	354	20370
BWP_Mig	NC_045637.1_RagTag	5600001	5700000	0.1645134914145543	6	1006	6115	587659
MP	NC_045637.1_RagTag	5600001	5700000	0.0	1	0	190	59470
HP	NC_045637.1_RagTag	5600001	5700000	0.3	2	9	30	4680
BWP_Res	NC_045637.1_RagTag	5700001	5800000	0.2416666666666666	25	348	1440	31956
BWP_Mig	NC_045637.1_RagTag	5700001	5800000	0.1286957677230748	17	3874	30102	926744
MP	NC_045637.1_RagTag	5700001	5800000	0.0	6	0	1140	95000
HP	NC_045637.1_RagTag	5700001	5800000	0.0545454545454545	11	9	165	7425
HP	NC_045637.1_RagTag	5800001	5900000	0.1111111111111111	6	10	90	10935
MP	NC_045637.1_RagTag	5800001	5900000	0.1132861307788421	14	272	2401	137249
BWP_Res	NC_045637.1_RagTag	5800001	5900000	0.110691823899371	13	88	795	47715
BWP_Mig	NC_045637.1_RagTag	5800001	5900000	0.1646823103302123	15	4274	25953	1363932
BWP_Res	NC_045637.1_RagTag	5900001	6000000	0.2078272604588394	25	308	1482	59568
BWP_Mig	NC_045637.1_RagTag	5900001	6000000	0.1081681363124047	17	3263	30166	1719009
MP	NC_045637.1_RagTag	5900001	6000000	0.0435406698564593	11	91	2090	173660
HP	NC_045637.1_RagTag	5900001	6000000	0.0	6	0	90	13785
BWP_Res	NC_045637.1_RagTag	6000001	6100000	0.0272727272727272	15	27	990	22374
BWP_Mig	NC_045637.1_RagTag	6000001	6100000	0.0937790157845868	15	2525	26925	642489
MP	NC_045637.1_RagTag	6000001	6100000	0.0067543547813722	15	19	2813	64447
HP	NC_045637.1_RagTag	6000001	6100000	0.1435897435897435	13	28	195	5115
MP	NC_045637.1_RagTag	6100001	6200000	0.0580645161290322	4	36	620	78990
HP	NC_045637.1_RagTag	6100001	6200000	0.0533333333333333	10	8	150	6135
BWP_Mig	NC_045637.1_RagTag	6100001	6200000	0.3179860881086452	11	3840	12076	780253
BWP_Res	NC_045637.1_RagTag	6100001	6200000	0.1893004115226337	4	46	243	27411
BWP_Res	NC_045637.1_RagTag	6200001	6300000	0.0484848484848484	10	32	660	29172
BWP_Mig	NC_045637.1_RagTag	6200001	6300000	0.0221575885774722	10	419	18910	835822
MP	NC_045637.1_RagTag	6200001	6300000	0.0521052631578947	10	99	1900	83980
HP	NC_045637.1_RagTag	6200001	6300000	0.06	10	9	150	6630
BWP_Res	NC_045637.1_RagTag	6300001	6400000	0.0	2	0	132	8976
BWP_Mig	NC_045637.1_RagTag	6300001	6400000	0.063276836158192	2	224	3540	257418
MP	NC_045637.1_RagTag	6300001	6400000	0.0	2	0	306	25914
HP	NC_045637.1_RagTag	6300001	6400000	0.2	3	9	45	2025
HP	NC_045637.1_RagTag	6400001	6500000	0.0	5	0	75	13965
MP	NC_045637.1_RagTag	6400001	6500000	0.1384111384111384	14	338	2442	175398
BWP_Res	NC_045637.1_RagTag	6400001	6500000	0.1173054587688734	14	101	861	60915
BWP_Mig	NC_045637.1_RagTag	6400001	6500000	0.1587349701929877	13	3142	19794	1750182
BWP_Res	NC_045637.1_RagTag	6500001	6600000	0.0494071146245059	23	75	1518	63690
BWP_Mig	NC_045637.1_RagTag	6500001	6600000	0.0905370546364359	29	4668	51559	1816749
MP	NC_045637.1_RagTag	6500001	6600000	0.049546279491833	29	273	5510	182210
HP	NC_045637.1_RagTag	6500001	6600000	0.0133333333333333	25	5	375	14445
BWP_Res	NC_045637.1_RagTag	6600001	6700000	NA	0	0	0	13332
BWP_Mig	NC_045637.1_RagTag	6600001	6700000	0.5061538461538462	2	329	650	381332
MP	NC_045637.1_RagTag	6600001	6700000	NA	0	0	0	38380
HP	NC_045637.1_RagTag	6600001	6700000	NA	0	0	0	3030
HP	NC_045637.1_RagTag	6700001	6800000	0.0303030303030303	11	5	165	7605
BWP_Res	NC_045637.1_RagTag	6700001	6800000	0.1397849462365591	16	130	930	33258
BWP_Mig	NC_045637.1_RagTag	6700001	6800000	0.2350727956813348	17	5748	24452	955086
MP	NC_045637.1_RagTag	6700001	6800000	0.0342857142857142	14	84	2450	95970
MP	NC_045637.1_RagTag	6800001	6900000	0.0890457754497836	29	391	4391	260469
HP	NC_045637.1_RagTag	6800001	6900000	0.075268817204301	31	35	465	20445
BWP_Res	NC_045637.1_RagTag	6800001	6900000	0.1932737335036185	41	454	2349	89655
BWP_Mig	NC_045637.1_RagTag	6800001	6900000	0.1994023718367728	34	10677	53545	2582509
MP	NC_045637.1_RagTag	6900001	7000000	NA	0	NA	NA	NA
BWP_Mig	NC_045637.1_RagTag	6900001	7000000	NA	0	NA	NA	NA
BWP_Res	NC_045637.1_RagTag	6900001	7000000	NA	0	NA	NA	NA
HP	NC_045637.1_RagTag	6900001	7000000	NA	0	NA	NA	NA
BWP_Res	NC_045637.1_RagTag	7000001	7100000	0.1225225225225225	10	68	555	57063
BWP_Mig	NC_045637.1_RagTag	7000001	7100000	0.1046747303040209	14	1601	15295	1635548
MP	NC_045637.1_RagTag	7000001	7100000	0.0838668373879641	9	131	1562	164308
HP	NC_045637.1_RagTag	7000001	7100000	NA	0	0	0	13095
BWP_Res	NC_045637.1_RagTag	7100001	7200000	0.131062951496388	15	127	969	66285
BWP_Mig	NC_045637.1_RagTag	7100001	7200000	0.1397952808880772	17	2909	20809	1906120
MP	NC_045637.1_RagTag	7100001	7200000	0.0	7	0	1219	192391
HP	NC_045637.1_RagTag	7100001	7200000	0.0313725490196078	17	8	255	15030
HP	NC_045637.1_RagTag	7200001	7300000	NA	0	0	0	6075
MP	NC_045637.1_RagTag	7200001	7300000	0.1609058402860548	5	135	839	76111
BWP_Mig	NC_045637.1_RagTag	7200001	7300000	0.3128246753246753	4	1927	6160	759695
BWP_Res	NC_045637.1_RagTag	7200001	7300000	0.4818181818181818	5	159	330	26400
BWP_Res	NC_045637.1_RagTag	7300001	7400000	0.1478873239436619	20	189	1278	71916
BWP_Mig	NC_045637.1_RagTag	7300001	7400000	0.1246431193408924	20	3056	24518	2072601
MP	NC_045637.1_RagTag	7300001	7400000	0.1114357262103505	13	267	2396	208314
HP	NC_045637.1_RagTag	7300001	7400000	0.1952380952380952	14	41	210	16425
MP	NC_045637.1_RagTag	7400001	7500000	0.0294473578055667	14	73	2479	246421
BWP_Res	NC_045637.1_RagTag	7400001	7500000	0.161127895266868	16	160	993	85467
BWP_Mig	NC_045637.1_RagTag	7400001	7500000	0.1198489574782465	22	3650	30455	2446755
HP	NC_045637.1_RagTag	7400001	7500000	0.0	17	0	255	19395
BWP_Res	NC_045637.1_RagTag	7500001	7600000	0.3977272727272727	4	105	264	7986
BWP_Mig	NC_045637.1_RagTag	7500001	7600000	0.1862068965517241	1	81	435	235940
MP	NC_045637.1_RagTag	7500001	7600000	NA	0	0	0	23750
HP	NC_045637.1_RagTag	7500001	7600000	NA	0	0	0	1875
MP	NC_045637.1_RagTag	7600001	7700000	NA	0	0	0	109250
HP	NC_045637.1_RagTag	7600001	7700000	0.0	1	0	15	8610
BWP_Res	NC_045637.1_RagTag	7600001	7700000	0.3555555555555555	1	16	45	37905
BWP_Mig	NC_045637.1_RagTag	7600001	7700000	0.4155844155844156	1	640	1540	1085785
MP	NC_045637.1_RagTag	7700001	7800000	NA	0	0	0	27360
HP	NC_045637.1_RagTag	7700001	7800000	NA	0	0	0	2160
BWP_Mig	NC_045637.1_RagTag	7700001	7800000	0.3692307692307692	2	240	650	271654
BWP_Res	NC_045637.1_RagTag	7700001	7800000	NA	0	0	0	9504
BWP_Res	NC_045637.1_RagTag	7800001	7900000	NA	0	0	0	66
BWP_Mig	NC_045637.1_RagTag	7800001	7900000	NA	0	0	0	1891
MP	NC_045637.1_RagTag	7800001	7900000	NA	0	0	0	190
HP	NC_045637.1_RagTag	7800001	7900000	0.6	1	9	15	0
BWP_Res	NC_045637.1_RagTag	7900001	8000000	0.2	1	9	45	15003
BWP_Mig	NC_045637.1_RagTag	7900001	8000000	NA	0	0	0	431148
MP	NC_045637.1_RagTag	7900001	8000000	0.0	1	0	190	43130
HP	NC_045637.1_RagTag	7900001	8000000	0.6	1	9	15	3405
HP	NC_045637.1_RagTag	8000001	8100000	0.0666666666666666	14	14	210	19185
